16:05:2014_13:08:55.1562500PM #100000905,100000906,100000907,100000908,100000909
16:05:2014_13:09:36.3125000PM #100000905,100000906,100000907,100000908,100000909,100000910,100000911,100000912,100000913,100000914,100000915,100000916,100000917,100000918,100000919,100000920,100000921,100000922,100000923,100000924,100000925,100000926,100000927
26:05:2014_17:27:36PM #100000989,100000990,100000991,100000992,100000993,100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:28:26.5000000PM #100000990,100000991,100000992,100000993,100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:29:18.2500000PM #100000991,100000992,100000993,100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:30:02.7343750PM #100000992,100000993,100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:30:28.2187500PM #100000992,100000993,100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:30:43.2343750PM #100000993,100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:30:52.8125000PM #100000993,100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:31:08.6562500PM #100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:31:20.1875000PM #100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:31:32.2656250PM #100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:32:06.5937500PM #100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:33:29.9843750PM #100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:33:35.7500000PM #100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:33:41.1875000PM #100000994,100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:33:51.5468750PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_17:34:02.9531250PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_19:40:38.1406250PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_19:41:31.5937500PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_19:50:19.7812500PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_19:51:18.9531250PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_19:51:55.6718750PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
26:05:2014_19:52:23.1562500PM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005
28:05:2014_10:51:39.8588996AM #100000995,100000996,100000997,100000998,100000999,100001000,100001001,100001002,100001003,100001004,100001005,100000993
28:05:2014_10:53:47.8588996AM #100000993
28:05:2014_10:54:01.0932746AM #100000993
28:05:2014_11:33:47.2807746AM #100000993
28:05:2014_14:07:14.1870246PM #100000989,100000990,100000993,100000994,100000996,100000998,100000999,100001002,100001005,100001000,100001004
28:05:2014_14:07:44.3120246PM #100000989,100000990,100000993,100000994,100000996,100000998,100000999,100001002,100001005,100001000,100001004
28:05:2014_14:22:16.9370246PM #100001007,100001008,100001009,100001010
28:05:2014_14:36:49.5776496PM #100001007,100001008,100001009,100001010
28:05:2014_14:42:01.8901496PM #100001007,100001008,100001009,100001010
28:05:2014_14:50:52.5151496PM #100001007
28:05:2014_14:51:23.7963996PM #100001007,100001008
28:05:2014_14:51:43.3745246PM #100001007,100001008,100001009
28:05:2014_14:51:56.9213996PM #,100001010
28:05:2014_14:52:12.3276496PM #100001010
28:05:2014_14:57:28.1870246PM #100001010
28:05:2014_14:59:27.8120246PM #100001010,100001007,100001008,100001009
28:05:2014_15:02:06.0307746PM #100001010,100001007,100001008,100001009
28:05:2014_15:16:10.8276496PM #100001007,100001008,100001009,100001010,100001011
28:05:2014_15:17:24.4838996PM #100001007,100001008,100001009,100001010,100001011
28:05:2014_15:23:04.9213996PM #100001007,100001008,100001009,100001010,100001011
28:05:2014_07:46:57.2812500AM #100001007,100001008,100001009,100001010,100001011,100001012
28:05:2014_07:47:30.0937500AM #100001007,100001008,100001009,100001010,100001011,100001012
28:05:2014_07:58:58.2343750AM #0
28:05:2014_08:22:39.3750000AM #0
28:05:2014_08:22:45.4218750AM #0
28:05:2014_08:22:47.8437500AM #0
28:05:2014_08:22:50.5312500AM #0
28:05:2014_08:23:26.2500000AM #100001007
28:05:2014_08:23:52.9218750AM #100001007,100001008
28:05:2014_08:24:56.9531250AM #100001007,100001008
28:05:2014_08:25:19.3906250AM #100001007,100001008,100001009
28:05:2014_08:25:32.5312500AM #100001007,100001008,100001009
28:05:2014_08:25:50.8125000AM #100001007,100001008,100001009,100001010
28:05:2014_08:25:59.6718750AM #100001007,100001008,100001009,100001010
28:05:2014_08:26:20.5937500AM #100001007,100001008,100001009,100001010,100001011
28:05:2014_08:26:26.7031250AM #100001007,100001008,100001009,100001010,100001011
28:05:2014_08:26:47.1875000AM #100001007,100001008,100001009,100001010,100001011,100001012
28:05:2014_08:26:54.3437500AM #100001007,100001008,100001009,100001010,100001011,100001012
28:05:2014_08:27:08.4375000AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013
28:05:2014_08:27:17.7812500AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013
28:05:2014_08:55:41.4687500AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100000993
28:05:2014_09:00:14.3125000AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013
29:05:2014_11:14:28.5781250AM #100001021,100001022,100001023
29:05:2014_11:14:45.2031250AM #100001021
29:05:2014_11:15:44.4375000AM #100001021
29:05:2014_11:16:32.2656250AM #100001021
29:05:2014_12:11:35.8906250PM #100001021
29:05:2014_12:16:40.5156250PM #100001021
29:05:2014_12:20:19.0156250PM #100001021
29:05:2014_12:23:20.3437500PM #100001021
29:05:2014_12:28:05.5781250PM #100001021,100001022
29:05:2014_12:32:05.9687500PM #100001021,100001022
29:05:2014_12:40:31.6093750PM #100001021,100001022
29:05:2014_12:41:51.6562500PM #100001021,100001022
29:05:2014_12:42:12.1562500PM #100001021,100001022
29:05:2014_12:47:27.2031250PM #100001021
29:05:2014_12:52:23.1562500PM #100001021
29:05:2014_12:52:41.6250000PM #100001021,100001022
29:05:2014_12:53:57.5468750PM #100001021,100001022
29:05:2014_13:18:55.2500000PM #100001021,100001022
29:05:2014_13:20:55.6562500PM #100001021,100001022
29:05:2014_13:22:22.4843750PM #100001021,100001022
29:05:2014_13:28:32.7500000PM #100001021,100001022
29:05:2014_13:31:48.7968750PM #100001021,100001022
29:05:2014_13:34:33.6093750PM #100001021,100001022
29:05:2014_14:01:37.4375000PM #100001021,100001022
29:05:2014_14:03:07.1875000PM #100001021,100001022
29:05:2014_14:23:55.6406250PM #100001021,100001022
29:05:2014_14:24:14.2968750PM #100001021,100001022
29:05:2014_14:28:47.8593750PM #100001021,100001022
29:05:2014_14:30:34.1875000PM #100001021,100001022
